country,institution,type,contacts,contacts_with_email,sources,name_variants
Mozambique,National Electoral Commission,EMB,1,1,csv,
Mozambique,Electoral Institute for the Sustainability of Democracy in Africa,Other,1,1,"csv,db",
Myanmar,Union Election Commission,Other,1,1,db,
Namibia,Electoral Commission of Namibia (ECN),EMB,12,12,"csv,db",Electoral Commission of Namibia | Election Commission
Namibia,The Electoral Commission Forum,Other,2,2,"csv,db",
Namibia,Namibia Institute for Democracy,Other,1,1,db,
Nepal,Election Commission,EMB,2,2,db,
Nepal,Office of the President,Other,1,1,db,
Netherlands,Ministry of the Interior and Kingdom Relations,Other,3,3,"csv,db",Ministry of the interior and kingdom relations
Netherlands,Central Election Commission,EMB,2,2,"csv,db",
Netherlands,Ministry for Foreign Affairs,Other,2,2,csv,Ministry of Foreign Affairs
Netherlands,The dutch Rathenau Instituut,Other,1,1,csv,
Netherlands,European Economic and Social Committee,Other,1,1,csv,
Netherlands,Smartmatic International Holding B.V.,Other,1,1,db,
Nigeria,Independent Electoral Commission,EMB,3,3,csv,
Nigeria,Independent National Electoral Commission,EMB,2,2,"csv,db",
Nigeria,Inec,Other,2,2,db,INEC
Nigeria,The Election Network,Other,1,1,csv,
Nigeria,Abia State Independent Electoral Commission,EMB,1,1,csv,
Nigeria,"EGANG AGABI & CO , LEGAL PRACTITIONERS",Other,1,1,"csv,db",
Nigeria,Independent Electoral Commission (INEC),EMB,1,1,csv,
Nigeria,Independent National Electoral Commission (INEC) - Nigeria,EMB,1,1,csv,
Nigeria,Initiative for Transformative Policy and Inclusive Development,Other,1,1,db,
Nigeria,Kimpact Development Initiative,Other,1,1,db,
North Macedonia,State Election Commission of Republic of North Macedonia,EMB,6,6,"csv,db",State Election Commission
North Macedonia,Electoral Service,Other,4,4,db,
North Macedonia,OSCE,Other,2,2,csv,
North Macedonia,Organization for Security and Co-operation in Europe,Other,2,1,"csv,db",
North Macedonia,United Nations Development Programme,Other,1,1,csv,
North Macedonia,Election Commission,EMB,1,1,db,
North Macedonia,iVote,Other,1,1,db,
Norway,Electoral Commission,EMB,4,4,db,
Norway,Ministry of local governement and Regional Development,Other,3,3,"csv,db",
Norway,Ministry of Local Government,Other,2,2,"csv,db",Ministry Local Government
Norway,Norwegian Board of Technology (Teknologirådet),Other,1,1,csv,
Norway,Norwegian Ministry of Justice and Public Security,Other,1,1,csv,
Norway,Committee of Constitutional Affairs,Other,1,1,db,
Pakistan,The Ministry of Interior,Other,7,7,db,
Pakistan,Smartmatic International Holding B.V.,Other,1,1,db,
Panama,Smartmatic USA Corporation,Other,1,1,db,
Panama,Smartmatic,Other,1,1,db,
Papua New Guinea,Electoral Commission,EMB,6,6,db,
Papua New Guinea,PNG Electoral Commission,EMB,1,1,db,
Philippines,Commission On Elections,Other,14,14,db,Commission on Elections
Philippines,COMELEC,EMB,2,2,db,
Philippines,Commission on Election,Other,1,1,db,
Philippines,Parish Pastoral Council for Responsible Voting,Other,1,1,db,
Philippines,"Office of Commissioner Maria Norina S. Tangaro-Casingal,Commission on Elections",Other,1,1,db,
Philippines,"Office of Commissioner Noli R. Pipo, Commission on Elections",Other,1,1,db,
Philippines,Philippines Commission on Elections,Other,1,1,db,
Poland,Ministry of Foreign Affairs,Other,8,8,"csv,db",
Poland,OSCE Office for Democratic Institutions and Human Rights (ODIHR),Other,2,2,"csv,db",
Poland,Ministry of Justice,Other,2,2,csv,
Poland,"Ministry of Justice, Central Board of Prison Service",Other,2,2,csv,
Poland,National Election Office of Poland,EMB,1,1,"csv,db",
Poland,Central Election Commission,EMB,1,1,"csv,db",
Poland,Election Commission,EMB,1,1,"csv,db",
Poland,Office of the Commissioner for Civil Rights Protection,Other,1,1,csv,
Poland,Solidarity with Democratic Belarus Information Office,Other,1,1,db,
Portugal,European Economic and Social Committee,Other,1,1,csv,
Portugal,DGAI Electoral Administration,Other,1,1,"csv,db",
Portugal,Parliamentary Assembly of the Council of Europe,Other,1,1,"csv,db",
Portugal,Central Election Commission,EMB,1,1,db,
Republic of Korea,Daegu Catholic University,Other,2,2,db,
Republic of Korea,Ministry,Other,1,1,db,
Romania,Permanent Electoral Authority of Romania,EMB,1,1,"csv,db",
Romania,Central Election Commission of the Russian Federation,Other,1,1,"csv,db",
Romania,Central Election Commission,EMB,1,1,"csv,db",
Romania,Permanent Representation of Romania to the Council of Europe (Strasbourg),Other,1,1,csv,
Romania,Election Commission,EMB,1,1,"csv,db",
Romania,Center for Free Elections and Democracy (CeSID),Other,1,1,"csv,db",
Romania,Ministry of Justice,Other,1,1,csv,
Romania,Laxton Group,Other,1,1,db,
Russian Federation,Central Election Commission of the Russian Federation,EMB,4,4,"csv,db",Central Election Commission
Russian Federation,CEC of Russia,EMB,3,3,db,CEC Russia
Russian Federation,Ministry for Foreign Affairs,Other,2,2,"csv,db",Ministry of Foreign Affairs
Russian Federation,Interparliamentary Assembly of member Nations OF THE CIS,Other,2,2,"csv,db",
Russian Federation,Office of the Prosecutor-General,Other,2,2,csv,
Russian Federation,ICANN,Other,1,1,csv,
Russian Federation,Parliamentary Assembly of the Council of Europe,Other,1,1,"csv,db",
Russian Federation,Ministry of Home Affairs,Other,1,1,csv,
Russian Federation,Russian Center for Trianing Election Technology - Central Election Commission,EMB,1,1,db,
Russian Federation,Russian Public Institute of Electoral Law,Other,1,1,db,
Rwanda,NATIONAL ELECTORAL COMMISSION,EMB,46,46,csv,
Rwanda,General Contact National Electoral Comission,Other,7,7,"csv,db",
Saudi Arabia,The Ministry of Interior,Other,1,1,db,
Senegal,National Assembly,Other,1,1,db,
Serbia,The Republic Electoral Commission,EMB,2,2,"csv,db",Republic Electoral Commission
Serbia,Center for Free Elections and Democracy (CeSID),Other,2,2,"csv,db",
Serbia,Ministry of Foreign Affairs,Other,2,2,csv,
Serbia,OSCE,Other,1,1,csv,
Serbia,State Election Commission,EMB,1,1,"csv,db",
Sierra Leone,Electoral Commission for Sierra Leone,EMB,5,5,db,
Sierra Leone,Election Management Office,Other,4,4,"csv,db",
Sierra Leone,National Election Watch - NEW IT,Other,1,1,db,
Sierra Leone,ECSL,Other,1,1,db,
Sierra Leone,Electoral Commission for Sierra,EMB,1,1,db,
Slovakia,Ministry of Foreign Affairs,Other,2,2,"csv,db",
Slovakia,Department of Elections and Referendum,EMB,1,1,"csv,db",
Slovakia,Monitoring Center,Other,1,1,db,
Slovenia,Ministry for Foreign Affairs,Other,4,4,"csv,db",Ministry of Foreign Affairs
Slovenia,Election Commission,EMB,2,2,"csv,db",
Slovenia,National Electoral Commission,EMB,1,1,"csv,db",
Slovenia,Permanent Representation,Other,1,1,"csv,db",
Slovenia,Prison Administration of the Republic of Slovenia,Other,1,1,csv,
Slovenia,General Director of the Directorate for Legislation on the Justice System,Other,1,1,csv,
Slovenia,General Director of the Directorate for Justice Administration,Other,1,1,csv,
Slovenia,General Director of the Directorate for International Cooperation and International Legal Assistance,Other,1,1,csv,
Slovenia,Director of Judicial Training Centre,Other,1,1,csv,
Slovenia,Director-General of the Prison Administration of the Republic of Slovenia,Other,1,1,csv,
Somalia,Somaliland National Electoral Commission,EMB,3,3,db,
Somalia,Somaliland Parliament,Other,1,1,db,
Somalia,National Electoral Commission-Somaliland,EMB,1,1,db,
South Africa,Electoral Commission,EMB,21,21,"csv,db",Election Commission
South Africa,BRANCH STATE PROTOCOL AND CONSULAR SERVICES,Other,20,20,csv,
South Africa,International Relations and Cooperation,Other,11,11,csv,
South Africa,BRANCH PUBLIC DIPLOMACY,Other,9,9,csv,
South Africa,Electoral Institute for Sustainable Democracy in Africa (EISA),Other,8,8,csv,
South Africa,International Relations and Coorperation,Other,6,6,csv,
South Africa,Office of the Minister,Other,6,6,csv,OFFICE OF THE MINISTER
South Africa,Independent Electoral Commission (IEC),EMB,4,4,"csv,db",
South Africa,University of the Western Cape,Other,4,4,csv,
South Africa,Consular Policy and Legalisation,Other,4,4,csv,
South Africa,OFFICES OF THE DEPUTY MINISTERS,Other,3,3,csv,
South Africa,OFFICE OF THE DIRECTOR-GENERAL,Other,2,2,csv,
South Africa,Office of the Chief of State Protoco,Other,2,2,csv,
South Africa,Directorate: Consular Policy and Legalisation,Other,2,2,csv,
South Africa,"BRANCH DIPLOMATIC TRAINING, RESEARCH AND DEVELOPMENT",Other,2,2,csv,
South Africa,TOPPAN Security,Other,2,2,db,Toppan Security
South Africa,Election Management Office,Other,1,1,csv,
South Africa,IEC,EMB,1,1,"csv,db",
South Africa,"Office of the Deputy Director-General: Diplomatic Training, Research and Development",Other,1,1,csv,
South Africa,Cooperative Governance Traditional Affairs,Other,1,1,"csv,db",
South Africa,The Electoral Commission Forum,Other,1,1,"csv,db",
South Africa,International Foundation for Electoral Systems,Other,1,1,csv,
South Africa,EISA - Electoral Institute for Sustainable Democracy in Africa,Other,1,1,csv,
South Africa,College of Human Sciences,Other,1,1,csv,
Spain,European Economic and Social Committee,Other,5,5,csv,
Spain,Central Election Commission,EMB,3,3,"csv,db",
Spain,Ministry of Public Administration,Other,1,1,"csv,db",
Spain,Departement of Public Administration,Other,1,1,"csv,db",
Spain,Election Commission,EMB,1,1,db,
Sri Lanka,Election Commission,EMB,7,7,db,
Sudan,Sudan National Elections Commission,Other,1,1,db,
Sweden,Ministry of Foreign Affair,Other,2,2,"csv,db",
Sweden,The Swedish Election Authority,EMB,2,2,"csv,db",
Sweden,Minister for International Development Cooperation and Foreign Trade,Other,2,2,csv,
Sweden,Minister for Foreign Affairs,Other,2,2,csv,
Sweden,Election Commission,EMB,1,1,"csv,db",
Sweden,International IDEA,Other,1,1,"csv,db",
Sweden,Evaluation and Research Secretariat (ERS) of the Swedish Riksdag,Other,1,1,csv,
Sweden,Parliamentary Assembly of the Council of Europe,Other,1,1,"csv,db",
Sweden,Swedish Association of Local Authorities and Regions,Other,1,1,"csv,db",
Sweden,Folke Bernadotte Academy,Other,1,1,csv,
Sweden,Swedish Ministry of Justice,Other,1,1,csv,
Sweden,Swedish Election Authoruty,Other,1,1,db,
Sweden,SEA,Other,1,1,db,
Switzerland,Election Commission,EMB,5,5,"csv,db",
Switzerland,Center For Democracy Aarau (Zda),Other,4,4,csv,
Switzerland,The Federal Assembly,Other,3,3,csv,
Switzerland,Election Observation,Other,2,2,csv,
Switzerland,Federal Department Of Foreign Affairs Of Switzerland,Other,2,2,csv,Federal Department Of Foreign Affairs
Switzerland,Swiss Foundation for Technology Assessment (TA-SWISS),Other,1,1,csv,
Switzerland,State Chancellery of Geneva,Other,1,1,csv,
Switzerland,Department of Econometrics and Political Economy,Other,1,1,csv,
Switzerland,"Swiss Electoral Studies,Fors (Swiss Foundation For Research In Social Sciences)",Other,1,1,csv,
Switzerland,Swiss Federal Chancellery,Other,1,1,csv,
Switzerland,Interparliamentary Union,Other,1,1,"csv,db",
Switzerland,Swiss Broadcasting Company,Other,1,1,db,
Switzerland,Swiss Democracy Foundation,Other,1,1,db,
Tajikistan,Election Commission,EMB,3,3,db,
Tajikistan,Central Commision for Election,Other,1,1,db,
Tanzania,Independent National Electotal Commission,Other,2,2,"csv,db",
Tanzania,Independent National Electoral Commission,EMB,2,2,db,
Tanzania,Zanzibar Electoral Commission,EMB,2,2,db,ZANZIBAR ELECTORAL COMMISSION
Tanzania,The Electoral Commission Forum,Other,1,1,db,
Tanzania,STATISTICS OFFICE ZANZIBAR,Other,1,1,db,
Tanzania,Zanzibar Electoral Commision,Other,1,1,db,
Thailand,Office of tge Election Commission,EMB,1,1,db,
Timor-Leste,National Election Commission,EMB,5,5,db,
Trinidad and Tobago,Elections and Boundaries Commission,Other,1,1,db,
Tunisia,EMEA,Other,2,2,csv,
Tunisia,Independent High Authority for Election,Other,1,1,"csv,db",
Tunisia,ISIE,Other,1,1,db,
Tunisia,The Independent High Authority for Elections (ISIE),Other,1,1,db,
Turkey,Ministry of Foreign Affairs,Other,1,1,"csv,db",
Turkey,Parliamentary Assembly of the Council of Europe,Other,1,1,"csv,db",
Turkey,Congress of the Council of Europe,Other,1,1,"csv,db",
Turkey,Supreme Election Council,EMB,1,1,db,
Turkey,Central Commision for Election,Other,1,1,db,
Turkey,Supreme Election Council (Türkiye),EMB,1,1,db,
Turkmenistan,Members Countries,Other,1,1,db,
Turkmenistan,Central Commision for Election,Other,1,1,db,
Turkmenistan,Ministry of Foreign Affair,Other,1,1,db,
Uganda,Global Election Observation Missions,Other,7,7,db,GLOBAL ELECTION OBSERVATION MISSIONS | Global election observation missions | Global Election observation missions
Uganda,Global Election Observation Mission,Other,3,3,db,GLOBAL ELECTION OBSERVATION MISSION
Uganda,Namibia - Electoral Commission of Namibia (ECN),EMB,1,1,csv,
Uganda,Uganda Electoral Commission,EMB,1,1,db,
Uganda,NWOYA EAST COUNTY,Other,1,1,db,
Uganda,Global Election Obsevation Missions,Other,1,1,db,
Uganda,Global elections observations missions,Other,1,1,db,
Uganda,Global Election Observation Missions-GEOM,Other,1,1,db,
Ukraine,Central Election Commission,EMB,3,3,"csv,db",central Election Commission
Ukraine,Election Commission,EMB,3,3,"csv,db",
Ukraine,Ministry of Foreign Affairs,Other,3,3,"csv,db",
Ukraine,Committee of Voters of Ukraine,Other,3,3,"csv,db",
Ukraine,Central Commision for Election,Other,3,3,db,central Commision for Election
Ukraine,Ministry of Justice,Other,2,2,"csv,db",
Ukraine,Permanent Mission of Ukraine,Other,1,1,"csv,db",
Ukraine,Legislative Initiatives,Other,1,1,db,
United Arab Emirates,Al Ghurair Printing & Publishing LLC,Other,1,1,db,
United Kingdom,Parliamentary Counsel (Director),Other,19,19,csv,
United Kingdom,National Security Council,Other,15,15,csv,
United Kingdom,Parliamentary Counsel,Other,15,15,csv,
United Kingdom,Community Relations Council,Other,10,10,csv,
United Kingdom,British Group Inter Parliamentary Union,Other,7,7,csv,
United Kingdom,Social Work Engalnd,Other,5,5,csv,
United Kingdom,Parliamenary Counsel (Director General),Other,5,5,csv,
United Kingdom,Cabinet Office,Other,4,4,"csv,db",
United Kingdom,ICPS,Other,3,3,db,
United Kingdom,Parliamentary Office of Science and Technology (POST),Other,2,2,csv,
United Kingdom,Election Commission,EMB,2,2,"csv,db",
United Kingdom,House of Commons,Other,2,2,csv,
United Kingdom,Civil Service Group,Other,1,1,csv,
United Kingdom,European Economic and Social Committee,Other,1,1,csv,
United Kingdom,Parliamentary Assembly of the Council of Europe,Other,1,1,"csv,db",
United Kingdom,Edgistra,Other,1,1,db,
United Kingdom,Direct Line,Other,1,1,db,
United Kingdom,Test,Other,1,1,db,
United States,Civilian Board of Contract Appeals,Other,27,27,csv,
United States,Federal Acquisition Service,Other,19,19,csv,
United States,Office of Congressional Relations,Other,6,6,csv,
United States,University of Kentucky,Other,1,1,db,
United States,Election Assistance Commission of DC,Other,1,1,db,
United States,United Nation,Other,1,1,db,
United States,State of Michigan - Department of State,Other,1,1,db,
United States,Surry County Board of Elections,Other,1,1,db,
United States,Smartmatic,Other,1,1,db,
United States,JMK Drive,Other,1,1,db,
United States,Elections System of the Virgin Islands,Other,1,1,db,
United States,IFES,Other,1,1,db,
United States,Self Employed,Other,1,1,db,
United States,Global Strategic Solutions,Other,1,1,db,
Vanuatu,Vanuatu Electoral commission,EMB,1,1,db,
Vanuatu,UNDP,Other,1,1,db,
Western Sahara,Election Commission,EMB,1,1,db,
Zambia,The Electoral Commission Forum,Other,1,1,"csv,db",
Zimbabwe,The Electoral Commission Forum,Other,1,1,"csv,db",
Zimbabwe,Zimbabwe Electoral Commission,EMB,1,1,csv,
Zimbabwe,Electoral Institute for Sustainable Democracy in Africa,Other,1,1,db,
