country,institution,type,contacts,contacts_with_email,sources,name_variants
Bosnia and Herzegovina,Association of Election Officials of Bosnia and Herzegovina,Other,2,2,"csv,db",
Bosnia and Herzegovina,OSCE,Other,2,2,csv,
Bosnia and Herzegovina,Ministry of Foreign Affairs,Other,2,2,"csv,db",
Bosnia and Herzegovina,Democratisation Department Organisation,Other,1,1,"csv,db",
Bosnia and Herzegovina,Association Of Election Officials In Bosnia & Herzegovina (Aeobih),Other,1,1,csv,
Bosnia and Herzegovina,Coalition for Free and Fair Elections - Pod lupom,Other,1,1,csv,
Bosnia and Herzegovina,Election Commission,EMB,1,1,"csv,db",
Bosnia and Herzegovina,Regulatory Agency,Other,1,1,"csv,db",
Bosnia and Herzegovina,Ministry of Justice,Other,1,1,csv,
Botswana,Independent Electoral Commission Botswana,EMB,9,9,"csv,db",Independent Electoral Commission
Botswana,Independent Electoral Commission (IEC),EMB,3,3,csv,
Botswana,The Electoral Commission Forum,Other,1,1,"csv,db",
Botswana,Office of the Electoral Commissioner,EMB,1,1,csv,
Botswana,Electoral Commissions of SADC countries,EMB,1,1,csv,
Botswana,Electoral Commissions Forum of SADC Countries,Other,1,1,db,
Botswana,Toppan Security,Other,1,1,db,
Botswana,Community,Other,1,1,db,
Botswana,Dance Out Botswana Pty Ltd,Other,1,1,db,
Botswana,government,Other,1,1,db,
Botswana,IEC BOTSWANA,EMB,1,1,db,
Botswana,Disabled Women in Africa,Other,1,1,db,
Botswana,Ministry for State President,Other,1,1,db,
Botswana,Bonafied Merchants,Other,1,1,db,
Botswana,University of Botswana,Other,1,1,db,
Botswana,Botswana Government Communications,Other,1,1,db,
Botswana,Botswana Government Communications Information Systems,Other,1,1,db,
Botswana,"Ministry for State President, Defence and Security",Other,1,1,db,
Botswana,Ministery for State President,Other,1,1,db,
Botswana,Botswana Government Communications and Information System,Other,1,1,db,
Brazil,Smartmatic,Other,1,1,db,
Brazil,Independent,Other,1,1,db,
British Virgin Islands,BVI GOVERNMENT/ELECTIONS OFFICE,Other,1,1,db,
British Virgin Islands,Government of the Virgin Islands,Other,1,1,db,
British Virgin Islands,Office of Supervisor of Elections,Other,1,1,db,
British Virgin Islands,Senior Executive Officer,Other,1,1,db,
British Virgin Islands,Election Ofiice,Other,1,1,db,
Brunei Darussalam,Legislative Council,Other,2,2,db,
Bulgaria,Ministry for Foreign Affairs,Other,2,2,"csv,db",Ministry of Foreign Affairs
Bulgaria,Central Election Commission of Bulgaria,EMB,1,1,"csv,db",
Bulgaria,UACEG Central Election Commission,Other,1,1,"csv,db",
Bulgaria,National Assembly of the Republic of Bulgaria,Other,1,1,"csv,db",
Bulgaria,Ministry of Justice,Other,1,1,csv,
Bulgaria,Smartmatic,Other,1,1,db,
Burkina Faso,Independent Electoral Commission,EMB,5,5,csv,
Burkina Faso,International Foundation for Electoral Systems,Other,2,2,"csv,db",
Burundi,Burundi National Commission,Other,2,2,"csv,db",
Burundi,Burkinabe National Commission,Other,2,2,"csv,db",
Burundi,Independent National Electoral Commission of Burundi (CENI),EMB,2,2,csv,Independent National Electoral Commission
Cabo Verde,National Electoral Commission,EMB,7,7,csv,
Cabo Verde,General Directorate of Support to Electoral Process (DGAPE),Other,1,1,csv,
Cabo Verde,DGAPE,Other,1,1,db,
Cameroon,The African Peace Support Trainers Association,Other,4,4,csv,
Cameroon,Center for Democracy and Electoral Studies,Other,3,3,csv,
Cameroon,Cameroon National Commission,Other,2,2,"csv,db",
Cameroon,Electoral Board,EMB,1,1,csv,
Cameroon,Elections Cameroon,Other,1,1,db,
Cameroon,Elections Cameroon 'ELECAM',Other,1,1,db,
Canada,Members of Parliament,Other,13,13,csv,
Canada,Minister of National Revenue,Other,9,9,csv,
Canada,Parliament of Canada,Other,8,8,csv,
Canada,Canadian International Development Agency,Other,3,3,"csv,db",
Canada,Elections Ontario,Other,3,3,db,
Canada,Canadian Branch of the Commonwealth Parliamentary Association,Other,2,2,csv,
Canada,Canada-France Inter-Parliamentary Association,Other,2,2,csv,
Canada,Corporate and Parliamentary Research Organisation:Elections Canada,EMB,1,1,"csv,db",
Canada,Canadian Organisation for Democratic Elections,Other,1,1,csv,
Canada,Canada-Africa Parliamentary Association,Other,1,1,csv,
Canada,Canada-Europe Parliamentary Association,Other,1,1,csv,
Canada,Canadian Branch of the Assemblée parlementaire de la Francophonie,Other,1,1,csv,
